,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,KineticEnergy,Potential,Energy
0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,58.8,58.8
1,0.02,0.0,2.0,0.0,0.0,1.99999949,1.99804,-0.00012503,-0.19599985,3.99999971,1.99804,-9.06e-05,-0.196,0.03841598,58.76158402,58.8
2,0.04,0.0,2.0,0.0,0.0,1.99998687,1.99216004,-0.00143645,-0.391993,3.99998798,1.99216,-0.00138696,-0.392,0.15366325,58.64633675,58.8
3,0.06,0.0,2.0,0.0,0.0,1.99992737,1.98236053,-0.00500411,-0.58794655,3.99992995,1.98236,-0.00491162,-0.588,0.34573715,58.45426284,58.79999999
4,0.08,0.0,2.0,0.0,0.0,1.99976324,1.96864303,-0.01206204,-0.78377176,3.99976776,1.96864,-0.01194764,-0.78399999,0.6146212,58.18537878,58.79999998
5,0.1,0.0,2.0,0.0,0.0,1.99941432,1.95101161,-0.02371889,-0.97929978,3.9994215,1.951,-0.02358071,-0.97999995,0.9602733,57.83972666,58.79999996
6,0.12,0.0,2.0,0.0,0.0,1.99877679,1.92947478,-0.04107817,-1.17425779,3.99878709,1.92944,-0.04089868,-1.17599976,1.38260846,57.41739145,58.79999991
7,0.14,0.0,2.0,0.0,0.0,1.99772499,1.90404784,-0.06533265,-1.36823051,3.99773896,1.90396001,-0.06514117,-1.37199904,1.88147391,56.91852592,58.79999983
8,0.16,0.0,2.0,0.0,0.0,1.99611128,1.87475573,-0.09747433,-1.56066333,3.99612953,1.87456005,-0.09725016,-1.56799682,2.45662146,56.34337826,58.79999972
9,0.18,0.0,2.0,0.0,0.0,1.9937665,1.84163643,-0.13856039,-1.75081739,3.99378936,1.84124016,-0.13831053,-1.76399087,3.10767704,55.69232251,58.79999955
10,0.2,0.0,2.0,0.0,0.0,1.99050272,1.80474437,-0.1895545,-1.9377635,3.99053068,1.80400047,-0.18930318,-1.95997657,3.83410105,54.96589827,58.79999933
11,0.22,0.0,2.0,0.0,0.0,1.98611378,1.76415435,-0.25120098,-2.12041111,3.98614702,1.76284121,-0.25093221,-2.15594529,4.63515613,54.1648429,58.79999903
12,0.24,0.0,2.0,0.0,0.0,1.98037854,1.71996529,-0.32425469,-2.29744627,3.98041676,1.71776287,-0.32401713,-2.35188178,5.50986774,53.29013091,58.79999865
13,0.26,0.0,2.0,0.0,0.0,1.97306466,1.6723034,-0.4091716,-2.46742192,3.9731071,1.66876632,-0.4090134,-2.54776096,6.45698509,52.34301309,58.79999818
14,0.28,0.0,2.0,0.0,0.0,1.96393137,1.62132567,-0.50619234,-2.62876928,3.96397558,1.61585307,-0.50618878,-2.74354387,7.47495933,51.32503828,58.79999761
15,0.3,0.0,2.0,0.0,0.0,1.95273542,1.56722154,-0.61541636,-2.77977998,3.95277644,1.55902559,-0.61576959,-2.9391721,8.56190944,50.23808752,58.79999695
