,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,KineticEnergy,Potential,Energy
0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,313.6,313.6
1,0.02,0.0,4.0,0.0,0.0,0.99999978,3.99804326,-6.411e-05,-0.1955351,1.99999998,3.99804325,-5.88e-06,-0.1955352,3.0,3.99804325,-3.2e-07,-0.1955352,4.0,3.99804325,-1e-08,-0.1955352,5.0,3.99804325,-0.0,-0.1955352,6.0,3.99804325,-0.0,-0.1955352,7.0,3.99804325,-0.0,-0.1955352,0.13381903,313.4657673,313.59958633
2,0.04,0.0,4.0,0.0,0.0,0.99998999,3.99218611,-0.00129818,-0.39008516,1.9999976,3.99218606,-0.00040892,-0.39009504,2.99999959,3.99218606,-8.884e-05,-0.39009504,3.99999995,3.99218606,-1.333e-05,-0.39009504,5.0,3.99218606,-1.43e-06,-0.39009504,6.0,3.99218606,-1.1e-07,-0.39009504,7.0,3.99218606,-1e-08,-0.39009504,0.53260656,313.0639663,313.59657286
3,0.06,0.0,4.0,0.0,0.0,0.9999251,3.98244893,-0.00594652,-0.58355251,1.99996862,3.98244786,-0.00306643,-0.58368438,2.99998928,3.98244786,-0.00131532,-0.58368439,3.99999714,3.98244786,-0.00043821,-0.58368439,4.99999941,3.98244786,-0.00011001,-0.58368439,5.99999991,3.98244786,-2.091e-05,-0.58368439,6.99999999,3.98244786,-3.4e-06,-0.58368439,1.1923525,312.39597672,313.58832922
4,0.08,0.0,4.0,0.0,0.0,0.99971476,3.96885681,-0.0162159,-0.77550987,1.99984497,3.96884802,-0.01023879,-0.77630801,2.99992412,3.96884802,-0.00595772,-0.77630808,3.99996777,3.96884802,-0.00307805,-0.77630808,4.99998857,3.96884802,-0.00133714,-0.77630808,5.99999668,3.96884802,-0.0004721,-0.77630808,6.99999909,3.96884802,-0.00015771,-0.77630808,2.10887783,311.46338781,313.57226564
5,0.1,0.0,4.0,0.0,0.0,0.99922496,3.95144987,-0.03424009,-0.96479951,1.99951449,3.95140581,-0.02411214,-0.96796986,2.99971385,3.9514058,-0.01619682,-0.96797094,3.99984392,3.9514058,-0.01024472,-0.96797094,4.99992296,3.9514058,-0.00600249,-0.96797094,5.99996596,3.9514058,-0.00323616,-0.96797094,6.99998417,3.9514058,-0.00185503,-0.96797094,3.27740675,310.26842967,313.54583641
6,0.12,0.0,4.0,0.0,0.0,0.99828067,3.93030311,-0.06197362,-1.14899247,1.99882236,3.93014046,-0.04674376,-1.15866867,2.99922458,3.93014038,-0.03421825,-1.15867776,3.99951276,3.93014038,-0.02423764,-1.15867776,4.99970882,3.93014038,-0.01669661,-1.15867776,5.99983015,3.93014038,-0.01162342,-1.15867776,6.99988824,3.93014038,-0.00907318,-1.15867776,4.69182392,308.81472525,313.50654917
7,0.14,0.0,4.0,0.0,0.0,0.99667117,3.90555793,-0.10099306,-1.32377712,1.99757389,3.90507141,-0.08007202,-1.3483797,2.99827806,3.90507081,-0.0623808,-1.34843328,3.99880964,3.90507081,-0.04804449,-1.34843331,4.9991899,3.90507081,-0.03722639,-1.34843331,5.99943453,3.90507081,-0.03000747,-1.34843331,6.999554,3.90507081,-0.02639515,-1.34843331,6.34383463,307.10814788,313.45198252
8,0.16,0.0,4.0,0.0,0.0,0.99415906,3.87746515,-0.15239033,-1.48246264,1.99553479,3.87621923,-0.12621257,-1.53699915,2.99664138,3.87621608,-0.10383456,-1.537242,3.99749903,3.87621608,-0.08568187,-1.53724233,4.99812549,3.87621608,-0.07192726,-1.53724233,5.99853495,3.87621608,-0.06267706,-1.53724233,6.99873733,3.87621608,-0.05803621,-1.53724233,8.22268818,305.15712193,313.37981011
9,0.18,0.0,4.0,0.0,0.0,0.99049035,3.84643322,-0.21664632,-1.61609417,1.99242567,3.84360837,-0.18736839,-1.72421383,2.99401537,3.84359509,-0.1617196,-1.72510722,3.99526773,3.84359507,-0.14058388,-1.72510954,4.99619487,3.84359507,-0.12440549,-1.72510954,5.99680689,3.84359507,-0.11349325,-1.72510954,6.99711094,3.84359507,-0.10798901,-1.72510954,10.31632953,302.97149188,313.28782142
