,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,xPosition10,yPosition10,xVelocity10,yVelocity10,KineticEnergy,Potential,Energy
0,0.0,-5.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,62.5,62.5
1,0.02,-5.0,0.0,0.0,0.0,-4.0,-0.00195512,-1.9e-07,-0.19520922,-3.0,-0.00195674,-0.0,-0.19553503,-2.0,-0.00195675,-0.0,-0.1955352,-1.0,-0.00195675,0.0,-0.1955352,0.0,-0.00195675,0.0,-0.1955352,1.0,-0.00195675,0.0,-0.1955352,2.0,-0.00195675,0.0,-0.1955352,3.0,-0.00195674,0.0,-0.19553503,4.0,-0.00195512,1.9e-07,-0.19520922,5.0,0.0,0.0,0.0,0.17192562,62.3275425,62.49946812
2,0.04,-5.0,0.0,0.0,0.0,-4.00000004,-0.007788,-6.06e-06,-0.38750394,-3.0,-0.00781391,-1e-08,-0.39008986,-2.0,-0.00781394,-0.0,-0.39009503,-1.0,-0.00781394,-0.0,-0.39009504,0.0,-0.00781394,0.0,-0.39009504,1.0,-0.00781394,0.0,-0.39009504,2.0,-0.00781394,0.0,-0.39009503,3.0,-0.00781391,1e-08,-0.39008986,4.00000004,-0.007788,6.06e-06,-0.38750394,5.0,0.0,0.0,0.0,0.68276474,61.8128356,62.49560034
3,0.06,-5.0,0.0,0.0,0.0,-4.00000046,-0.01742145,-4.531e-05,-0.57500575,-3.0,-0.01755175,-2e-07,-0.58364532,-2.0,-0.01755214,-0.0,-0.5836843,-1.0,-0.01755214,-0.0,-0.58368439,0.0,-0.01755214,0.0,-0.58368439,1.0,-0.01755214,0.0,-0.58368439,2.0,-0.01755214,0.0,-0.5836843,3.0,-0.01755175,2e-07,-0.58364532,4.00000046,-0.01742145,4.531e-05,-0.57500575,5.0,0.0,0.0,0.0,1.52299203,60.9620589,62.48505092
4,0.08,-5.0,0.0,0.0,0.0,-4.00000252,-0.03074159,-0.00018732,-0.75592899,-3.00000001,-0.0311498,-1.46e-06,-0.77614496,-2.0,-0.03115197,-1e-08,-0.77630746,-1.0,-0.03115198,-0.0,-0.77630808,0.0,-0.03115198,0.0,-0.77630808,1.0,-0.03115198,0.0,-0.77630808,2.0,-0.03115197,1e-08,-0.77630746,3.00000001,-0.0311498,1.46e-06,-0.77614496,4.00000252,-0.03074159,0.00018732,-0.75592899,5.0,0.0,0.0,0.0,2.6804643,59.78411776,62.46458206
5,0.1,-5.0,0.0,0.0,0.0,-4.00000945,-0.0476,-0.00055828,-0.92861141,-3.00000009,-0.04858593,-6.85e-06,-0.96747858,-2.0,-0.04859416,-5e-08,-0.96796801,-1.0,-0.0485942,-0.0,-0.96797093,0.0,-0.0485942,0.0,-0.96797094,1.0,-0.0485942,0.0,-0.96797093,2.0,-0.04859416,5e-08,-0.96796801,3.00000009,-0.04858593,6.85e-06,-0.96747858,4.00000945,-0.0476,0.00055828,-0.92861141,5.0,0.0,0.0,0.0,4.14074793,58.29034063,62.43108856
6,0.12,-5.0,0.0,0.0,0.0,-4.00002764,-0.0678165,-0.0013502,-1.09153884,-3.00000037,-0.06983518,-2.418e-05,-1.15746821,-2.0,-0.06985946,-2.4e-07,-1.15866736,-1.0,-0.06985962,-0.0,-1.15867771,0.0,-0.06985962,0.0,-1.15867776,1.0,-0.06985962,0.0,-1.15867771,2.0,-0.06985946,2.4e-07,-1.15866736,3.00000037,-0.06983518,2.418e-05,-1.15746821,4.00002764,-0.0678165,0.0013502,-1.09153884,5.0,0.0,0.0,0.0,5.88750268,56.49411625,62.38161893
7,0.14,-5.0,0.0,0.0,0.0,-4.00006796,-0.09118223,-0.00282222,-1.24336338,-3.00000124,-0.09486825,-6.989e-05,-1.34585691,-2.00000001,-0.09492865,-9.5e-07,-1.34840309,-1.0,-0.09492919,-1e-08,-1.3484331,0.0,-0.09492919,0.0,-1.34843331,1.0,-0.09492919,1e-08,-1.3484331,2.00000001,-0.09492865,9.5e-07,-1.34840309,3.00000124,-0.09486825,6.989e-05,-1.34585691,4.00006796,-0.09118223,0.00282222,-1.24336338,5.0,0.0,0.0,0.0,7.90289021,54.41050231,62.31339252
8,0.16,-5.0,0.0,0.0,0.0,-4.00014714,-0.11746317,-0.00529326,-1.38291524,-3.00000355,-0.12364982,-0.00017439,-1.53230076,-2.00000005,-0.12378238,-3.11e-06,-1.53716651,-1.0,-0.12378391,-4e-08,-1.53724165,0.0,-0.12378392,0.0,-1.53724232,1.0,-0.12378391,4e-08,-1.53724165,2.00000005,-0.12378238,3.11e-06,-1.53716651,3.00000355,-0.12364982,0.00017439,-1.53230076,4.00014714,-0.11746317,0.00529326,-1.38291524,5.0,0.0,0.0,0.0,10.16797801,52.05583456,62.22381256
9,0.18,-5.0,0.0,0.0,0.0,-4.00028872,-0.14640373,-0.00912555,-1.50920919,-3.00000894,-0.15613681,-0.00038867,-1.71636426,-2.00000016,-0.15640105,-8.79e-06,-1.72493945,-1.0,-0.1564049,-1.3e-07,-1.72510762,0.0,-0.15640493,0.0,-1.72510952,1.0,-0.1564049,1.3e-07,-1.72510762,2.00000016,-0.15640105,8.79e-06,-1.72493945,3.00000894,-0.15613681,0.00038867,-1.71636426,4.00028872,-0.14640373,0.00912555,-1.50920919,5.0,0.0,0.0,0.0,12.66311589,49.4473594,62.1104753
