,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,KineticEnergy,Potential,Energy
0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.5,2.0,2.5
1,0.02,0.0,0.0,0.0,0.0,4.99960001,0.01979947,-0.03999749,0.97992054,0.48092203,2.01907797,2.5
2,0.04,0.0,0.0,0.0,0.0,4.9984002,0.03919578,-0.0799799,0.95968435,0.46369542,2.03630458,2.5
3,0.06,0.0,0.0,0.0,0.0,4.99640102,0.05818583,-0.11993213,0.93929483,0.44832925,2.05167076,2.5
4,0.08,0.0,0.0,0.0,0.0,4.99360322,0.07676658,-0.15983902,0.91875548,0.43483007,2.06516993,2.5
5,0.1,0.0,0.0,0.0,0.0,4.99000786,0.09493507,-0.19968536,0.89806994,0.42320193,2.07679808,2.50000001
6,0.12,0.0,0.0,0.0,0.0,4.98561631,0.11268843,-0.23945596,0.87724194,0.41344629,2.08655372,2.50000001
7,0.14,0.0,0.0,0.0,0.0,4.98043023,0.13002383,-0.27913557,0.85627534,0.40556206,2.09443794,2.5
8,0.16,0.0,0.0,0.0,0.0,4.97445159,0.14693854,-0.31870895,0.83517409,0.39954558,2.10045442,2.5
9,0.18,0.0,0.0,0.0,0.0,4.96768268,0.16342992,-0.35816086,0.81394226,0.3953906,2.1046094,2.5
10,0.2,0.0,0.0,0.0,0.0,4.96012606,0.17949539,-0.39747606,0.792584,0.39308831,2.10691169,2.5
11,0.22,0.0,0.0,0.0,0.0,4.95178464,0.19513247,-0.43663932,0.77110355,0.3926273,2.1073727,2.5
12,0.24,0.0,0.0,0.0,0.0,4.9426616,0.21033875,-0.47563544,0.74950527,0.39399361,2.10600638,2.5
13,0.26,0.0,0.0,0.0,0.0,4.93276044,0.22511193,-0.51444924,0.72779357,0.39717075,2.10282924,2.49999999
14,0.28,0.0,0.0,0.0,0.0,4.92208495,0.23944977,-0.55306558,0.70597295,0.40213967,2.09786032,2.49999999
15,0.3,0.0,0.0,0.0,0.0,4.91063923,0.25335015,-0.59146935,0.68404799,0.40887882,2.09112116,2.49999999
16,0.32,0.0,0.0,0.0,0.0,4.89842769,0.26681103,-0.62964552,0.66202333,0.41736419,2.0826358,2.49999998
17,0.34,0.0,0.0,0.0,0.0,4.88545502,0.27983045,-0.66757908,0.6399037,0.42756929,2.07243069,2.49999998
18,0.36,0.0,0.0,0.0,0.0,4.87172623,0.29240658,-0.70525511,0.61769386,0.43946524,2.06053473,2.49999997
19,0.38,0.0,0.0,0.0,0.0,4.85724663,0.30453764,-0.74265876,0.59539866,0.45302079,2.04697917,2.49999997
20,0.4,0.0,0.0,0.0,0.0,4.84202179,0.31622199,-0.77977523,0.57302296,0.46820236,2.0317976,2.49999996
21,0.42,0.0,0.0,0.0,0.0,4.82605763,0.32745806,-0.81658983,0.55057171,0.48497408,2.01502588,2.49999996
22,0.44,0.0,0.0,0.0,0.0,4.80936031,0.33824439,-0.85308796,0.52804988,0.50329787,1.99670208,2.49999995
