,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,KineticEnergy,Potential,Energy
0,0.0,0.0,5.0,3.0,0.0,5.0,0.0,0.0,-3.0,0.0,-5.0,-3.0,0.0,-5.0,0.0,0.0,3.0,18.0,42.89321881,60.89321881
1,0.02,0.05998832,4.99707196,2.9982439,-0.29271475,4.99707196,-0.05998832,-0.29271475,-2.9982439,-0.05998832,-4.99707196,-2.9982439,0.29271475,-4.99707196,0.05998832,0.29271475,2.9982439,18.15029687,42.7429216,60.89321847
2,0.04,0.11990649,4.98829852,2.99299075,-0.58436102,4.98829852,-0.11990649,-0.58436102,-2.99299075,-0.11990649,-4.98829852,-2.99299075,0.58436102,-4.98829852,0.11990649,0.58436102,2.99299075,18.59894286,42.29427458,60.89321745
3,0.06,0.17968499,4.9737117,2.9842859,-0.87387544,4.9737117,-0.17968499,-0.87387544,-2.9842859,-0.17968499,-4.9737117,-2.9842859,0.87387544,-4.9737117,0.17968499,0.87387544,2.9842859,19.33924129,41.55397447,60.89321576
4,0.08,0.23925547,4.95336468,2.97220487,-1.16020482,4.95336468,-0.23925547,-1.16020482,-2.97220487,-0.23925547,-4.95336468,-2.97220487,1.16020482,-4.95336468,0.23925547,1.16020482,2.97220487,20.36015407,40.53305937,60.89321344
5,0.1,0.29855143,4.92733159,2.95685315,-1.44231122,4.92733159,-0.29855143,-1.44231122,-2.95685315,-0.29855143,-4.92733159,-2.95685315,1.44231122,-4.92733159,0.29855143,1.44231122,2.95685315,21.64648441,39.24672612,60.89321053
6,0.12,0.35750874,4.89570709,2.93836599,-1.71917699,4.89570709,-0.35750874,-1.71917699,-2.93836599,-0.35750874,-4.89570709,-2.93836599,1.71917699,-4.89570709,0.35750874,1.71917699,2.93836599,23.17912837,37.7140787,60.89320707
7,0.14,0.4160663,4.85860597,2.91690812,-1.98980974,4.85860597,-0.4160663,-1.98980974,-2.91690812,-0.4160663,-4.85860597,-2.91690812,1.98980974,-4.85860597,0.4160663,1.98980974,2.91690812,24.93539161,35.95781152,60.89320313
8,0.16,0.47416659,4.81616256,2.89267342,-2.25324733,4.81616256,-0.47416659,-2.25324733,-2.89267342,-0.47416659,-4.81616256,-2.89267342,2.25324733,-4.81616256,0.47416659,2.25324733,2.89267342,26.88936606,34.00383271,60.89319877
9,0.18,0.53175625,4.76853009,2.86588442,-2.50856272,4.76853009,-0.53175625,-2.50856272,-2.86588442,-0.53175625,-4.76853009,-2.86588442,2.50856272,-4.76853009,0.53175625,2.50856272,2.86588442,29.01236086,31.88083322,60.89319407
10,0.2,0.58878665,4.71587997,2.83679189,-2.75486879,4.71587997,-0.58878665,-2.75486879,-2.83679189,-0.58878665,-4.71587997,-2.83679189,2.75486879,-4.71587997,0.58878665,2.75486879,2.83679189,31.27338051,29.61980861,60.89318912
11,0.22,0.64521445,4.65840087,2.8056742,-2.99132307,4.65840087,-0.64521445,-2.99132307,-2.8056742,-0.64521445,-4.65840087,-2.8056742,2.99132307,-4.65840087,0.64521445,2.99132307,2.8056742,33.63964285,27.25354115,60.89318399
12,0.24,0.70100217,4.59629785,2.77283666,-3.21713244,4.59629785,-0.70100217,-3.21713244,-2.77283666,-0.70100217,-4.59629785,-2.77283666,3.21713244,-4.59629785,0.70100217,3.21713244,2.77283666,36.0771286,24.81605019,60.89317879
13,0.26,0.75611868,4.52979129,2.73861076,-3.43155767,4.52979129,-0.75611868,-3.43155767,-2.73861076,-0.75611868,-4.52979129,-2.73861076,3.43155767,-4.52979129,0.75611868,3.43155767,2.73861076,38.5511538,22.3420198,60.8931736
14,0.28,0.81053973,4.45911579,2.70335325,-3.63391788,4.45911579,-0.81053973,-3.63391788,-2.70335325,-0.81053973,-4.45911579,-2.70335325,3.63391788,-4.45911579,0.81053973,3.63391788,2.70335325,41.02695592,19.86621259,60.89316852
15,0.3,0.86424848,4.38451893,2.66744518,-3.82359496,4.38451893,-0.86424848,-3.82359496,-2.66744518,-0.86424848,-4.38451893,-2.66744518,3.82359496,-4.38451893,0.86424848,3.82359496,2.66744518,43.47028441,17.42287922,60.89316364
16,0.32,0.9172359,4.30626001,2.63129065,-4.00003781,4.30626001,-0.9172359,-4.00003781,-2.63129065,-0.9172359,-4.30626001,-2.63129065,4.00003781,-4.30626001,0.9172359,4.00003781,2.63129065,45.84798602,15.04517303,60.89315905
17,0.34,0.96950129,4.22460863,2.59531555,-4.1627665,4.22460863,-0.96950129,-4.1627665,-2.59531555,-0.96950129,-4.22460863,-2.59531555,4.1627665,-4.22460863,0.96950129,4.1627665,2.59531555,48.12857545,12.76457939,60.89315484
18,0.36,1.02105268,4.13984326,2.55996593,-4.31137627,4.13984326,-1.02105268,-4.31137627,-2.55996593,-1.02105268,-4.13984326,-2.55996593,4.31137627,-4.13984326,1.02105268,4.31137627,2.55996593,50.28278187,10.61036923,60.8931511
19,0.38,1.07190717,4.05224966,2.52570623,-4.44554148,4.05224966,-1.07190717,-4.44554148,-2.52570623,-1.07190717,-4.05224966,-2.52570623,4.44554148,-4.05224966,1.07190717,4.44554148,2.52570623,52.28406201,8.60908589,60.8931479
20,0.4,1.12209137,3.96211929,2.49301713,-4.56501929,3.96211929,-1.12209137,-4.56501929,-2.49301713,-1.12209137,-3.96211929,-2.49301713,4.56501929,-3.96211929,1.12209137,4.56501929,2.49301713,54.10907102,6.78407428,60.8931453
21,0.42,1.17164159,3.86974762,2.46239316,-4.66965322,3.86974762,-1.17164159,-4.66965322,-2.46239316,-1.17164159,-3.86974762,-2.46239316,4.66965322,-3.86974762,1.17164159,4.66965322,2.46239316,55.73808255,5.15506082,60.89314337
22,0.44,1.22060419,3.77543234,2.43433977,-4.75937652,3.77543234,-1.22060419,-4.75937652,-2.43433977,-1.22060419,-3.77543234,-2.43433977,4.75937652,-3.77543234,1.22060419,4.75937652,2.43433977,57.15534993,3.73779223,60.89314216
23,0.46,1.26903569,3.67947156,2.40937,-4.83421521,3.67947156,-1.26903569,-4.83421521,-2.40937,-1.26903569,-3.67947156,-2.40937,4.83421521,-3.67947156,1.26903569,4.83421521,2.40937,58.349401,2.5437407,60.8931417
24,0.48,1.31700293,3.58216193,2.38800053,-4.89429089,3.58216193,-1.31700293,-4.89429089,-2.38800053,-1.31700293,-3.58216193,-2.38800053,4.89429089,-3.58216193,1.31700293,4.89429089,2.38800053,59.31325971,1.5798823,60.89314201
25,0.5,1.36458308,3.48379666,2.37074715,-4.93982307,3.48379666,-1.36458308,-4.93982307,-2.37074715,-1.36458308,-3.48379666,-2.37074715,4.93982307,-3.48379666,1.36458308,4.93982307,2.37074715,60.04458805,0.84855506,60.89314311
26,0.52,1.41186358,3.38466362,2.35811945,-4.97113106,3.38466362,-1.41186358,-4.97113106,-2.35811945,-1.41186358,-3.38466362,-2.35811945,4.97113106,-3.38466362,1.41186358,4.97113106,2.35811945,60.54574278,0.34740222,60.893145
27,0.54,1.45894193,3.28504324,2.35061468,-4.98863524,3.28504324,-1.45894193,-4.98863524,-2.35061468,-1.45894193,-3.28504324,-2.35061468,4.98863524,-3.28504324,1.45894193,4.98863524,2.35061468,60.82374196,0.06940568,60.89314764
28,0.56,1.50592542,3.18520655,2.34871077,-4.99285754,3.18520655,-1.50592542,-4.99285754,-2.34871077,-1.50592542,-3.18520655,-2.34871077,4.99285754,-3.18520655,1.50592542,4.99285754,2.34871077,60.89013741,0.00301359,60.893151
29,0.58,1.55293061,3.08541314,2.35285836,-4.98442097,3.08541314,-1.55293061,-4.98442097,-2.35285836,-1.55293061,-3.08541314,-2.35285836,4.98442097,-3.08541314,1.55293061,4.98442097,2.35285836,60.76078977,0.13236527,60.89315504
