,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,KineticEnergy,Potential,Energy
0,0.0,0.0,5.0,3.0,0.0,5.0,0.0,0.0,-3.0,0.0,-5.0,-3.0,0.0,-5.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,18.0,42.89321881,60.89321881
1,0.02,0.05996838,4.99707195,2.99524568,-0.29271531,4.99707196,-0.05996838,-0.29271419,-2.99524564,-0.05998832,-4.99707196,-2.99824373,0.29271507,-4.99707196,0.05998832,0.29271442,2.99824373,5.00001994,4.99998006,0.00299782,-0.00299784,18.13233486,42.76088368,60.89321854
2,0.04,0.11974682,4.98829845,2.98101945,-0.58436989,4.98829859,-0.11974682,-0.58435216,-2.98101836,-0.11990647,-4.98829848,-2.99298792,0.58436607,-4.98829856,0.11990647,0.58435575,2.99298792,5.00015962,4.99984037,0.01196488,-0.01196575,18.52754908,42.36566865,60.89321773
3,0.06,0.17914689,4.97371116,2.95743245,-0.8739201,4.97371223,-0.1791468,-0.87383083,-2.95742415,-0.17968482,-4.97371139,-2.9842716,0.87390068,-4.97371202,0.17968482,0.87384855,2.9842716,5.00053771,4.99946222,0.02682143,-0.02682803,19.1802939,41.71292249,60.89321639
4,0.08,0.2379831,4.95336243,2.92467159,-1.1603449,4.95336693,-0.23798263,-1.16006474,-2.92463674,-0.23925475,-4.95336341,-2.97215968,1.16028346,-4.95336605,0.23925475,1.16011923,2.9721597,5.00127076,4.99872886,0.0474336,-0.04746152,20.08172891,40.81148562,60.89321453
5,0.1,0.29607448,4.92732477,2.88300047,-1.44264979,4.92733842,-0.29607271,-1.4419718,-2.88289462,-0.29854922,-4.92732776,-2.95674289,1.44250026,-4.92733577,0.29854922,1.44210097,2.95674297,5.00247209,4.99752649,0.07361324,-0.07369882,21.2196322,39.67358,60.89321219
6,0.12,0.35324611,4.89569026,2.83275977,-1.71987008,4.89572397,-0.35324085,-1.71847922,-2.83249795,-0.35750326,-4.89569769,-2.93813754,1.71956245,-4.89571755,0.35750326,1.71873874,2.93813783,5.00425072,4.99574502,0.10511826,-0.10533226,22.57855259,38.31465681,60.89320939
7,0.14,0.40933064,4.85856998,2.77436695,-1.99107357,4.85864219,-0.40931745,-1.98852943,-2.77380509,-0.41605446,-4.85858593,-2.9164853,1.99051108,-4.85862867,0.41605447,1.98899432,2.91648615,5.00671029,4.99327892,0.14165346,-0.14211857,24.14000201,36.75320416,60.89320617
8,0.16,0.46416984,4.81609331,2.70831531,-2.25536253,4.81623263,-0.46414062,-2.251086,-2.70722905,-0.47414351,-4.81612406,-2.89195286,2.25442079,-4.81620698,0.47414355,2.25185146,2.89195506,5.00994801,4.99002782,0.18287209,-0.18378426,25.88268581,35.01051676,60.89320257
9,0.18,0.51761608,4.7684072,2.63517223,-2.51187504,4.76865531,-0.51755726,-2.50513934,-2.63323367,-0.53171468,-4.76846182,-2.86473162,2.51040367,-4.76861039,0.5317148,2.50632094,2.86473668,5.01405369,4.98589708,0.22837779,-0.23003164,27.78276869,33.11042995,60.89319864
10,0.2,0.56953381,4.71567552,2.55557651,-2.75978571,4.71609011,-0.56942402,-2.74971241,-2.55232974,-0.58871632,-4.71576627,-2.8350372,2.7576129,-4.71601629,0.58871659,2.75144579,2.83504791,5.0191087,4.98079818,0.27772732,-0.28054537,29.81417375,31.07902068,60.89319442
11,0.22,0.61980092,4.65807823,2.47023476,-2.99830594,4.65873611,-0.61960818,-2.98386604,-2.46507094,-0.64510131,-4.65822099,-2.80310899,2.99524625,-4.65862083,0.64510188,2.98630635,2.8031301,5.02518512,4.97464906,0.33043392,-0.33499947,31.94891245,28.94427754,60.89318999
12,0.24,0.66831009,4.59581073,2.37991682,-3.2266838,4.59681073,-0.66798853,-3.2067041,-2.37204984,-0.70082757,-4.59602513,-2.76920951,3.22254947,-4.59663814,0.70082873,3.21002542,2.76924881,5.03234489,4.96737419,0.38597137,-0.39306463,34.15744315,26.73574224,60.89318538
13,0.26,0.71496999,4.52908309,2.28545002,-3.44420369,4.53054885,-0.71445602,-3.41737833,-2.27389375,-0.75585847,-4.5293924,-2.73362384,3.43881941,-4.53029943,0.7558607,3.42177333,2.73369353,5.04063907,4.95890463,0.44377882,-0.45441551,36.40905632,24.48412436,60.89318068
14,0.28,0.75970633,4.45811932,2.1877124,-3.65018604,4.46020179,-0.7589145,-3.61509294,-2.17126065,-0.81016334,-4.45855005,-2.69665881,3.64340716,-4.459852,0.81016741,3.62077292,2.69677742,5.05010722,4.94917782,0.50326643,-0.51873788,38.6722845,22.22089144,60.89317594
15,0.3,0.80246285,4.38315666,2.08762489,-3.84398732,4.38603624,-0.80128122,-3.79910881,-2.0648352,-0.86371783,-4.38373775,-2.65864221,3.83572085,-4.38555809,0.86372498,3.80630447,2.65883698,5.06077683,4.93813733,0.56382166,-0.58573531,40.91533492,19.97783632,60.89317124
16,0.32,0.84320205,4.30444487,1.98614245,-4.02500047,4.30833306,-0.84148739,-3.96874752,-1.95532476,-0.91650435,-4.30520639,-2.61992179,4.01522848,-4.30769377,0.91651647,3.97771053,2.62023182,5.07266301,4.92573243,0.62481634,-0.65513506,43.10654279,17.78662386,60.89316665
17,0.34,0.88190578,4.22224548,1.88424434,-4.19265609,4.22738605,-0.87947852,-4.12339498,-1.84345557,-0.96851245,-4.2232169,-2.58086423,4.18146043,-4.22654755,0.96853237,4.13440056,2.58134429,5.08576818,4.91191758,0.68561431,-0.72669305,45.21484207,15.67832018,60.89316225
18,0.36,0.91857566,4.13683099,1.78292375,-4.34642467,4.1435006,-0.91521485,-4.26250487,-1.72996906,-1.01973923,-4.13803896,-2.54185387,4.33401201,-4.14241907,1.01977105,4.27585552,2.54257918,5.10008204,4.89665178,0.74557947,-0.80019746,47.21025025,13.68290786,60.89315811
19,0.38,0.9532332,4.04848409,1.6831768,-4.48581975,4.05699235,-0.94867154,-4.38560186,-1.61561826,-1.07018958,-4.04994966,-2.50329131,4.4725457,-4.05561761,1.07023918,4.4016322,2.50436328,5.11558164,4.87989793,0.80408417,-0.87547098,49.06436186,11.82879246,60.89315432
20,0.4,0.98591977,3.95749671,1.58599138,-4.61040235,3.9681857,-0.9798389,-4.4922846,-1.50116442,-1.11987661,-3.95923215,-2.46559183,4.59679338,-3.96646048,1.11995221,4.51136741,2.46714489,5.13223163,4.86162213,0.86051764,-0.9523715,50.75084417,10.14230678,60.89315095
21,0.42,1.01669633,3.86416908,1.49233589,-4.71978656,3.8774123,-1.00872252,-4.58222858,-1.38737372,-1.16882184,-3.86617425,-2.42918353,4.70655832,-3.87527146,1.16893473,4.60478193,2.4313931,5.14998467,4.84179297,0.91429428,-1.03079115,52.24592673,8.64722134,60.89314808
22,0.44,1.04564292,3.76880851,1.40314822,-4.81364615,3.78500952,-1.03534336,-4.65518883,-1.27501408,-1.21705546,-3.77106697,-2.39450522,4.80171715,-3.78237903,1.21722093,4.68168422,2.39759699,5.16878205,4.82038089,0.96486161,-1.11065392,53.52887472,7.36427105,60.89314577
23,0.46,1.07285795,3.67172821,1.31932508,-4.89172209,3.69131879,-1.0597377,-4.71100257,-1.16485212,-1.26461653,-3.67420303,-2.36200403,4.8822215,-3.68811459,1.26485499,4.74197386,2.36626446,5.18855438,4.79735754,1.01170766,-1.19191175,54.5824344,6.31070971,60.89314411
24,0.48,1.09845724,3.57324582,1.24171198,-4.95383066,3.59668398,-1.08195713,-4.74959176,-1.05765008,-1.31155311,-3.57587539,-2.33213256,4.94809961,-3.59281061,1.31189138,4.78564476,2.33792073,5.2092225,4.77269531,1.05436758,-1.2745396,55.39323787,5.49990526,60.89314313
25,0.5,1.12257296,3.47368185,1.17109384,-4.99987177,3.50144962,-1.10206841,-4.77096551,-0.95416282,-1.35792234,-3.47637562,-2.30534575,4.99945771,-3.49679873,1.35839528,4.81278795,2.31310638,5.23069849,4.7463669,1.09242947,-1.35852951,55.95215352,4.94098937,60.89314289
26,0.52,1.14535229,3.37335788,1.10818641,-5.02983722,3.4059592,-1.1201533,-4.77522253,-0.85513465,-1.40379047,-3.37599242,-2.28209718,5.03648111,-3.40040776,1.40444279,4.82359409,2.29237486,5.25288674,4.71834506,1.1255392,-1.44388409,56.25456836,4.63857507,60.89314343
27,0.54,1.16695596,3.27259468,1.05362843,-5.04381831,3.3105533,-1.13630831,-4.76255336,-0.76129613,-1.44923274,-3.27500996,-2.26283489,5.05943506,-3.30396169,1.45012117,4.81835555,2.27628919,5.27568517,4.68860242,1.15340427,-1.53060982,56.30058891,4.59255585,60.89314475
28,0.56,1.18755666,3.17171015,1.00797453,-5.04201241,3.21556776,-1.1506444,-4.73324257,-0.67336058,-1.49433329,-3.1737063,-2.24799664,5.0686653,-3.20777763,1.49552903,4.79746807,2.26541794,5.2989865,4.65711152,1.17579661,-1.61871026,56.09514864,4.79799823,60.89314687
29,0.58,1.20733726,3.07101714,0.97168883,-5.02472804,3.12133176,-1.1632866,-4.68767062,-0.59202037,-1.53918484,-3.07235179,-2.23800455,5.06459809,-3.11216373,1.54077635,4.76143183,2.26033006,5.32267955,4.6238449,1.19255451,-1.70817974,55.64801136,5.2451384,60.89314976
30,0.6,1.22648898,2.97082118,0.94513917,-4.99238805,3.02816591,-1.17437352,-4.62631555,-0.51794287,-1.58388836,-2.97120746,-2.23325903,5.04773987,-3.01741709,1.58598444,4.71085191,2.26158864,5.34665057,4.58877536,1.2035835,-1.79899759,54.97366259,5.91949081,60.8931534
31,0.62,1.24520937,2.87141819,0.92859191,-4.94553034,2.93638028,-1.18405686,-4.54975422,-0.45176599,-1.62855257,-2.87052338,-2.23413214,5.01867618,-2.92382167,1.63128576,4.64643796,2.26974326,5.3707846,4.5518763,1.20885649,-1.8911231,54.09108351,6.80207421,60.89315771
32,0.64,1.26370026,2.7730922,0.92220729,-4.8848059,2.84627239,-1.19250072,-4.45866303,-0.39409326,-1.67329326,-2.77053718,-2.24096025,4.97806987,-2.83164618,1.67682354,4.56900294,2.28532084,5.3949668,4.51312216,1.20841306,-1.98449155,53.02340554,7.8697571,60.89316263
