,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,KineticEnergy,Potential,Energy
0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,98.0,98.0
1,0.02,0.0,5.0,0.0,0.0,4.99999995,4.99804325,-1.4e-05,-0.19553519,0.01911701,97.9808239,97.9999409
2,0.04,0.0,5.0,0.0,0.0,4.99999753,4.99218606,-0.00033848,-0.39009467,0.07608698,97.92342343,97.99951041
3,0.06,0.0,5.0,0.0,0.0,4.99997943,4.98244789,-0.00169392,-0.58368045,0.17034287,97.82798986,97.99833273
4,0.08,0.0,5.0,0.0,0.0,4.99992047,4.96884824,-0.00444304,-0.77629058,0.3013234,97.69471432,97.99603773
5,0.1,0.0,5.0,0.0,0.0,4.99979109,4.95140668,-0.00881696,-0.96791818,0.46847167,97.52378917,97.99226084
6,0.12,0.0,5.0,0.0,0.0,4.99955244,4.93014301,-0.01549101,-1.15854515,0.67123342,97.31540966,97.98664308
7,0.14,0.0,5.0,0.0,0.0,4.99915338,4.9050775,-0.0248807,-1.34814475,0.90905665,97.06977432,97.97883097
8,0.16,0.0,5.0,0.0,0.0,4.99853833,4.87623101,-0.03715418,-1.53668323,1.1813879,96.78708867,97.96847657
9,0.18,0.0,5.0,0.0,0.0,4.99764411,4.84362527,-0.05292184,-1.72410496,1.48766932,96.46756816,97.95523748
10,0.2,0.0,5.0,0.0,0.0,4.99639526,4.80728332,-0.07264964,-1.91034045,1.82733931,96.11143761,97.93877692
11,0.22,0.0,5.0,0.0,0.0,4.9947115,4.76722958,-0.09646007,-2.09531564,2.19982608,95.71893764,97.91876373
12,0.24,0.0,5.0,0.0,0.0,4.99250669,4.72349026,-0.12487989,-2.27892327,2.60454312,95.29032944,97.89487256
13,0.26,0.0,5.0,0.0,0.0,4.98968277,4.676094,-0.15841446,-2.46103403,3.04089182,94.82589216,97.86678398
14,0.28,0.0,5.0,0.0,0.0,4.9861364,4.62507198,-0.19715621,-2.64152141,3.50825296,94.32593168,97.83418464
15,0.3,0.0,5.0,0.0,0.0,4.98176009,4.57045826,-0.24153096,-2.82021644,4.00597898,93.79078851,97.79676749
16,0.32,0.0,5.0,0.0,0.0,4.97643526,4.51229071,-0.2920635,-2.99691489,4.53339998,93.22083211,97.7542321
17,0.34,0.0,5.0,0.0,0.0,4.97003766,4.45061117,-0.34882772,-3.17142672,5.08981411,92.61647072,97.70628483
18,0.36,0.0,5.0,0.0,0.0,4.96244048,4.38546559,-0.41213279,-3.34351565,5.67447516,91.97816415,97.65263931
19,0.38,0.0,5.0,0.0,0.0,4.95350732,4.31690532,-0.4824945,-3.51289108,6.28660236,91.30641443,97.59301678
20,0.4,0.0,5.0,0.0,0.0,4.94309584,4.2449873,-0.55997341,-3.67928982,6.92537189,90.60177459,97.52714648
21,0.42,0.0,5.0,0.0,0.0,4.93106279,4.16977391,-0.64474823,-3.8424076,7.5898982,89.86486797,97.45476618
22,0.44,0.0,5.0,0.0,0.0,4.91725734,4.09133458,-0.73729003,-4.0018618,8.27924725,89.09637548,97.37562273
23,0.46,0.0,5.0,0.0,0.0,4.90152293,4.00974609,-0.83764346,-4.15730893,8.99243207,88.2970405,97.28947257
24,0.48,0.0,5.0,0.0,0.0,4.88370374,3.92509206,-0.94584495,-4.30838147,9.7283868,87.46769557,97.19608236
25,0.5,0.0,5.0,0.0,0.0,4.86363899,3.83746462,-1.06228,-4.45460718,10.48598195,86.60924781,97.09522976
26,0.52,0.0,5.0,0.0,0.0,4.84116294,3.74696512,-1.18696621,-4.5955594,11.26402751,85.72267647,96.98670398
27,0.54,0.0,5.0,0.0,0.0,4.81611232,3.65370304,-1.31978817,-4.73081793,12.06123955,84.809067,96.87030654
28,0.56,0.0,5.0,0.0,0.0,4.78832211,3.55779759,-1.46100281,-4.85983346,12.87625523,83.86959701,96.74585224
29,0.58,0.0,5.0,0.0,0.0,4.75762382,3.45937889,-1.61058144,-4.98210002,13.70764661,82.90552315,96.61316976
30,0.6,0.0,5.0,0.0,0.0,4.72385325,3.35858635,-1.76825002,-5.09716145,14.55388151,81.91822105,96.47210255
31,0.62,0.0,5.0,0.0,0.0,4.68684822,3.25556984,-1.93409567,-5.20441576,15.41333474,80.90917512,96.32250986
32,0.64,0.0,5.0,0.0,0.0,4.64644528,3.1504915,-2.10801782,-5.30329066,16.28431548,79.87995201,96.16426749
33,0.66,0.0,5.0,0.0,0.0,4.60248737,3.04352351,-2.28958071,-5.39331724,17.16502533,78.83224327,95.9972686
34,0.68,0.0,5.0,0.0,0.0,4.55482345,2.93484872,-2.47866672,-5.47387757,18.05356217,77.76786272,95.8214249
35,0.7,0.0,5.0,0.0,0.0,4.50330427,2.82466287,-2.67507486,-5.54435744,18.94796247,76.68870491,95.63666738
36,0.72,0.0,5.0,0.0,0.0,4.44778921,2.71317213,-2.87820968,-5.60430471,19.8461611,75.59678604,95.44294714
37,0.74,0.0,5.0,0.0,0.0,4.38814786,2.60059261,-3.08772515,-5.65313382,20.74598431,74.49425213,95.24023644
38,0.76,0.0,5.0,0.0,0.0,4.32425525,2.48715316,-3.30329322,-5.69022558,21.6452066,73.38332298,95.02852958
39,0.78,0.0,5.0,0.0,0.0,4.25599744,2.37309271,-3.52416762,-5.71517966,22.54151795,72.26632548,94.80784343
40,0.8,0.0,5.0,0.0,0.0,4.1832748,2.25865852,-3.74976652,-5.72750009,23.43250315,71.14571538,94.57821853
41,0.82,0.0,5.0,0.0,0.0,4.10599712,2.14410926,-3.97961566,-5.72661164,24.31571087,70.02400887,94.33971974
42,0.84,0.0,5.0,0.0,0.0,4.02408769,2.02971256,-4.21283591,-5.71220465,25.1886342,68.90380247,94.09243667
43,0.86,0.0,5.0,0.0,0.0,3.93748776,1.91574176,-4.44862253,-5.68393418,26.04867511,67.78780932,93.83648443
44,0.88,0.0,5.0,0.0,0.0,3.84615201,1.80247903,-4.68634941,-5.6413271,26.89322111,66.67878315,93.57200426
